technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,468350.35544521495,360269.5041886269,0.47233746220269696,scenario_2,20260923_081529
solar,Floreana,17059.543838979254,13122.726029984042,0.7274929163413818,scenario_2,20260923_081529
solar,Santa Cruz,100290.38794889531,77146.452268381,0.6460644408884775,scenario_2,20260923_081529
solar,San Cristobal,55427.39305421725,42636.456195551735,0.7014852751122881,scenario_2,20260923_081529
solar,TOTAL,641127.6802873068,493175.13868254365,,scenario_2,20260923_081529
