technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,196522.74867934876,151171.34513796057,0.513164993261847,scenario_2,20260923_091305
solar,Floreana,17059.543838979254,13122.726029984042,0.6783714904087437,scenario_2,20260923_091305
solar,Santa Cruz,99946.11488162678,76881.6268320206,0.5965719865338452,scenario_2,20260923_091305
solar,San Cristobal,55413.599300485854,42625.84561575835,0.6589724411510228,scenario_2,20260923_091305
solar,TOTAL,368942.00670044066,283801.54361572355,,scenario_2,20260923_091305
