technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,468350.35544521495,360269.5041886269,0.5234545886997363,scenario_2,20260912_170955
solar,Floreana,17059.543838979254,13122.726029984042,0.7377832592148553,scenario_2,20260912_170955
solar,Santa Cruz,100290.38794889531,77146.452268381,0.6549095070158681,scenario_2,20260912_170955
solar,San Cristobal,55427.39305421725,42636.456195551735,0.7094693904433685,scenario_2,20260912_170955
solar,TOTAL,641127.6802873068,493175.13868254365,,scenario_2,20260912_170955
