technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,196522.74867934876,151171.34513796057,0.5419144462709744,scenario_2,20260923_083819
solar,Floreana,17059.543838979254,13122.726029984042,0.7274929163413818,scenario_2,20260923_083819
solar,Santa Cruz,99946.11488162678,76881.6268320206,0.6460587131198876,scenario_2,20260923_083819
solar,San Cristobal,55413.599300485854,42625.84561575835,0.7015080157697405,scenario_2,20260923_083819
solar,TOTAL,368942.00670044066,283801.54361572355,,scenario_2,20260923_083819
