technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,196522.74867934876,151171.34513796057,0.5909804956608617,scenario_2,20260923_094417
solar,Floreana,17059.543838979254,13122.726029984042,0.7084792177828584,scenario_2,20260923_094417
solar,Santa Cruz,99946.11488162678,76881.6268320206,0.6562874773708066,scenario_2,20260923_094417
solar,San Cristobal,55413.599300485854,42625.84561575835,0.705585212992783,scenario_2,20260923_094417
solar,TOTAL,368942.00670044066,283801.54361572355,,scenario_2,20260923_094417
