island,area_ha_last_quantile,energy_potential_mw
Isabela,22379.5568298401,17215.043715261614
Floreana,6921.325105072289,5324.096234670991
Santa Cruz,23563.917064018944,18126.09004924534
San Cristobal,20923.602341156795,16095.078723966764
