island,suitable_area_ha,suitability_mean,potential_mw_solar
Isabela,460511.9482587209,2.7979770425977653,354239.9601990161
Floreana,16234.57648455903,2.9639345596396858,12488.135757353099
Santa Cruz,95721.90178600652,3.0096384637106115,73632.23214308194
San Cristobal,53316.833154207525,3.0971714216540143,41012.94858015963
