technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
eolic,Isabela,467382.79496795934,519314.21663106594,0.4132560353583154,scenario_1,20260826_121045
eolic,Floreana,16965.556054933575,18850.617838815084,0.45014437674524227,scenario_1,20260826_121045
eolic,Santa Cruz,99974.55855311429,111082.84283679364,0.51952717252194,scenario_1,20260826_121045
eolic,San Cristobal,55113.37111582172,61237.07901757969,0.5831384676328035,scenario_1,20260826_121045
eolic,TOTAL,639436.2806918289,710484.7563242543,,scenario_1,20260826_121045
