technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
eolic,Isabela,467382.79496795934,519314.21663106594,0.3657135064612579,scenario_2,20260826_124422
eolic,Floreana,16965.556054933575,18850.617838815084,0.5692273307745792,scenario_2,20260826_124422
eolic,Santa Cruz,99974.55855311429,111082.84283679364,0.5718539502518238,scenario_2,20260826_124422
eolic,San Cristobal,55113.37111582172,61237.07901757969,0.6234632076009058,scenario_2,20260826_124422
eolic,TOTAL,639436.2806918289,710484.7563242543,,scenario_2,20260826_124422
