technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,468350.35544521495,360269.5041886269,0.5648786251338279,scenario_1,20260912_173611
solar,Floreana,17059.543838979254,13122.726029984042,0.6634995103301177,scenario_1,20260912_173611
solar,Santa Cruz,100290.38794889531,77146.452268381,0.584222371195529,scenario_1,20260912_173611
solar,San Cristobal,55427.39305421725,42636.456195551735,0.6475657466794129,scenario_1,20260912_173611
solar,TOTAL,641127.6802873068,493175.13868254365,,scenario_1,20260912_173611
