technology,island,suitable_area_ha,potential_mw,suitability_mean,weight_scenario,run_timestamp
solar,Isabela,468350.35544521495,360269.5041886269,0.6638681547197703,scenario_1,20260826_133043
solar,Floreana,17059.543838979254,13122.726029984042,0.7583339722857302,scenario_1,20260826_133043
solar,Santa Cruz,100290.38794889531,77146.452268381,0.7485387757967016,scenario_1,20260826_133043
solar,San Cristobal,55427.39305421725,42636.456195551735,0.7696501498318896,scenario_1,20260826_133043
solar,TOTAL,641127.6802873068,493175.13868254365,,scenario_1,20260826_133043
